sampleName	cellAnno	cellIden
human3_lib1.final_cell_0883	beta	4
human3_lib1.final_cell_0884	endothelial	7
human3_lib1.final_cell_0885	quiescent_stellate	12
human3_lib1.final_cell_0886	beta	4
human3_lib1.final_cell_0887	beta	4
human3_lib1.final_cell_0888	beta	4
human3_lib1.final_cell_0889	beta	4
human3_lib1.final_cell_0890	quiescent_stellate	12
human3_lib1.final_cell_0891	endothelial	7
human3_lib1.final_cell_0892	alpha	3
human3_lib1.final_cell_0893	alpha	3
human3_lib1.final_cell_0894	beta	4
human3_lib1.final_cell_0895	ductal	6
human3_lib1.final_cell_0896	endothelial	7
human3_lib1.final_cell_0897	endothelial	7
human3_lib2.final_cell_0001	acinar	1
human3_lib2.final_cell_0002	acinar	1
human3_lib2.final_cell_0003	acinar	1
human3_lib2.final_cell_0004	acinar	1
human3_lib2.final_cell_0005	acinar	1
human3_lib2.final_cell_0006	acinar	1
human3_lib2.final_cell_0007	acinar	1
human3_lib2.final_cell_0008	acinar	1
human3_lib2.final_cell_0009	acinar	1
human3_lib2.final_cell_0010	acinar	1
human3_lib2.final_cell_0011	acinar	1
human3_lib2.final_cell_0012	acinar	1
human3_lib2.final_cell_0013	acinar	1
human3_lib2.final_cell_0014	acinar	1
human3_lib2.final_cell_0015	acinar	1
human3_lib2.final_cell_0016	delta	5
human3_lib2.final_cell_0017	acinar	1
human3_lib2.final_cell_0018	acinar	1
human3_lib2.final_cell_0019	acinar	1
human3_lib2.final_cell_0020	acinar	1
human3_lib2.final_cell_0021	acinar	1
human3_lib2.final_cell_0022	acinar	1
human3_lib2.final_cell_0023	acinar	1
human3_lib2.final_cell_0024	acinar	1
human3_lib2.final_cell_0025	acinar	1
human3_lib2.final_cell_0026	acinar	1
human3_lib2.final_cell_0027	acinar	1
human3_lib2.final_cell_0028	acinar	1
human3_lib2.final_cell_0029	acinar	1
human3_lib2.final_cell_0030	beta	4
human3_lib2.final_cell_0031	acinar	1
human3_lib2.final_cell_0032	acinar	1
human3_lib2.final_cell_0033	acinar	1
human3_lib2.final_cell_0034	acinar	1
human3_lib2.final_cell_0035	acinar	1
human3_lib2.final_cell_0036	acinar	1
human3_lib2.final_cell_0037	acinar	1
human3_lib2.final_cell_0038	acinar	1
human3_lib2.final_cell_0039	acinar	1
human3_lib2.final_cell_0040	beta	4
human3_lib2.final_cell_0041	acinar	1
human3_lib2.final_cell_0042	acinar	1
human3_lib2.final_cell_0043	acinar	1
human3_lib2.final_cell_0044	acinar	1
human3_lib2.final_cell_0045	acinar	1
human3_lib2.final_cell_0046	acinar	1
human3_lib2.final_cell_0047	acinar	1
human3_lib2.final_cell_0048	acinar	1
human3_lib2.final_cell_0049	acinar	1
human3_lib2.final_cell_0050	beta	4
human3_lib2.final_cell_0051	acinar	1
human3_lib2.final_cell_0052	acinar	1
human3_lib2.final_cell_0053	acinar	1
human3_lib2.final_cell_0054	acinar	1
human3_lib2.final_cell_0055	acinar	1
human3_lib2.final_cell_0056	acinar	1
human3_lib2.final_cell_0057	acinar	1
human3_lib2.final_cell_0058	acinar	1
human3_lib2.final_cell_0059	acinar	1
human3_lib2.final_cell_0060	acinar	1
human3_lib2.final_cell_0061	acinar	1
human3_lib2.final_cell_0062	acinar	1
human3_lib2.final_cell_0063	acinar	1
human3_lib2.final_cell_0064	acinar	1
human3_lib2.final_cell_0065	beta	4
human3_lib2.final_cell_0066	delta	5
human3_lib2.final_cell_0067	acinar	1
human3_lib2.final_cell_0068	ductal	6
human3_lib2.final_cell_0069	acinar	1
human3_lib2.final_cell_0070	delta	5
human3_lib2.final_cell_0071	acinar	1
human3_lib2.final_cell_0072	acinar	1
human3_lib2.final_cell_0073	acinar	1
human3_lib2.final_cell_0074	acinar	1
human3_lib2.final_cell_0075	acinar	1
human3_lib2.final_cell_0076	acinar	1
human3_lib2.final_cell_0077	beta	4
human3_lib2.final_cell_0078	acinar	1
human3_lib2.final_cell_0079	acinar	1
human3_lib2.final_cell_0080	acinar	1
human3_lib2.final_cell_0081	acinar	1
human3_lib2.final_cell_0082	acinar	1
human3_lib2.final_cell_0083	acinar	1
human3_lib2.final_cell_0084	acinar	1
human3_lib2.final_cell_0085	beta	4
human3_lib2.final_cell_0086	acinar	1
human3_lib2.final_cell_0087	delta	5
human3_lib2.final_cell_0088	acinar	1
human3_lib2.final_cell_0089	beta	4
human3_lib2.final_cell_0090	acinar	1
human3_lib2.final_cell_0091	acinar	1
human3_lib2.final_cell_0092	delta	5
human3_lib2.final_cell_0093	acinar	1
human3_lib2.final_cell_0094	acinar	1
human3_lib2.final_cell_0095	delta	5
human3_lib2.final_cell_0096	acinar	1
human3_lib2.final_cell_0097	acinar	1
human3_lib2.final_cell_0098	acinar	1
human3_lib2.final_cell_0099	acinar	1
human3_lib2.final_cell_0100	acinar	1
human3_lib2.final_cell_0101	acinar	1
human3_lib2.final_cell_0102	acinar	1
human3_lib2.final_cell_0103	delta	5
human3_lib2.final_cell_0104	acinar	1
human3_lib2.final_cell_0105	acinar	1
human3_lib2.final_cell_0106	beta	4
human3_lib2.final_cell_0107	acinar	1
human3_lib2.final_cell_0108	acinar	1
human3_lib2.final_cell_0109	acinar	1
human3_lib2.final_cell_0110	acinar	1
human3_lib2.final_cell_0111	alpha	3
human3_lib2.final_cell_0112	acinar	1
human3_lib2.final_cell_0113	beta	4
human3_lib2.final_cell_0114	alpha	3
human3_lib2.final_cell_0115	acinar	1
human3_lib2.final_cell_0116	acinar	1
human3_lib2.final_cell_0117	acinar	1
human3_lib2.final_cell_0118	acinar	1
human3_lib2.final_cell_0119	acinar	1
human3_lib2.final_cell_0120	acinar	1
human3_lib2.final_cell_0121	gamma	9
human3_lib2.final_cell_0122	ductal	6
human3_lib2.final_cell_0123	acinar	1
human3_lib2.final_cell_0124	acinar	1
human3_lib2.final_cell_0125	acinar	1
human3_lib2.final_cell_0126	acinar	1
human3_lib2.final_cell_0127	acinar	1
human3_lib2.final_cell_0128	ductal	6
human3_lib2.final_cell_0129	acinar	1
human3_lib2.final_cell_0130	acinar	1
human3_lib2.final_cell_0131	delta	5
human3_lib2.final_cell_0132	beta	4
human3_lib2.final_cell_0133	alpha	3
human3_lib2.final_cell_0134	acinar	1
human3_lib2.final_cell_0135	acinar	1
human3_lib2.final_cell_0136	delta	5
human3_lib2.final_cell_0137	beta	4
human3_lib2.final_cell_0138	acinar	1
human3_lib2.final_cell_0139	beta	4
human3_lib2.final_cell_0140	acinar	1
human3_lib2.final_cell_0141	ductal	6
human3_lib2.final_cell_0142	alpha	3
human3_lib2.final_cell_0143	ductal	6
human3_lib2.final_cell_0144	beta	4
human3_lib2.final_cell_0145	alpha	3
human3_lib2.final_cell_0146	beta	4
human3_lib2.final_cell_0147	alpha	3
human3_lib2.final_cell_0148	acinar	1
human3_lib2.final_cell_0149	delta	5
human3_lib2.final_cell_0150	beta	4
human3_lib2.final_cell_0151	beta	4
human3_lib2.final_cell_0152	alpha	3
human3_lib2.final_cell_0153	beta	4
human3_lib2.final_cell_0154	alpha	3
human3_lib2.final_cell_0155	delta	5
human3_lib2.final_cell_0156	alpha	3
human3_lib2.final_cell_0157	beta	4
human3_lib2.final_cell_0158	acinar	1
human3_lib2.final_cell_0159	acinar	1
human3_lib2.final_cell_0160	acinar	1
human3_lib2.final_cell_0161	ductal	6
human3_lib2.final_cell_0162	ductal	6
human3_lib2.final_cell_0163	beta	4
human3_lib2.final_cell_0164	acinar	1
human3_lib2.final_cell_0165	delta	5
human3_lib2.final_cell_0166	beta	4
human3_lib2.final_cell_0167	gamma	9
human3_lib2.final_cell_0168	acinar	1
human3_lib2.final_cell_0169	beta	4
human3_lib2.final_cell_0170	beta	4
human3_lib2.final_cell_0171	acinar	1
human3_lib2.final_cell_0172	acinar	1
human3_lib2.final_cell_0173	alpha	3
human3_lib2.final_cell_0174	acinar	1
human3_lib2.final_cell_0175	beta	4
human3_lib2.final_cell_0176	alpha	3
human3_lib2.final_cell_0177	beta	4
human3_lib2.final_cell_0178	alpha	3
human3_lib2.final_cell_0179	gamma	9
human3_lib2.final_cell_0180	acinar	1
human3_lib2.final_cell_0181	alpha	3
human3_lib2.final_cell_0182	beta	4
human3_lib2.final_cell_0183	acinar	1
human3_lib2.final_cell_0184	acinar	1
human3_lib2.final_cell_0185	delta	5
human3_lib2.final_cell_0186	alpha	3
human3_lib2.final_cell_0187	ductal	6
human3_lib2.final_cell_0188	delta	5
human3_lib2.final_cell_0189	delta	5
human3_lib2.final_cell_0190	alpha	3
human3_lib2.final_cell_0191	ductal	6
human3_lib2.final_cell_0192	beta	4
human3_lib2.final_cell_0193	beta	4
human3_lib2.final_cell_0194	delta	5
human3_lib2.final_cell_0195	alpha	3
human3_lib2.final_cell_0196	beta	4
human3_lib2.final_cell_0197	alpha	3
human3_lib2.final_cell_0198	beta	4
human3_lib2.final_cell_0199	acinar	1
human3_lib2.final_cell_0200	beta	4
human3_lib2.final_cell_0201	acinar	1
human3_lib2.final_cell_0202	alpha	3
human3_lib2.final_cell_0203	beta	4
human3_lib2.final_cell_0204	beta	4
human3_lib2.final_cell_0205	alpha	3
human3_lib2.final_cell_0206	beta	4
human3_lib2.final_cell_0207	acinar	1
human3_lib2.final_cell_0208	ductal	6
human3_lib2.final_cell_0209	ductal	6
human3_lib2.final_cell_0210	beta	4
human3_lib2.final_cell_0211	alpha	3
human3_lib2.final_cell_0212	alpha	3
human3_lib2.final_cell_0213	acinar	1
human3_lib2.final_cell_0214	acinar	1
human3_lib2.final_cell_0215	gamma	9
human3_lib2.final_cell_0216	alpha	3
human3_lib2.final_cell_0217	alpha	3
human3_lib2.final_cell_0218	acinar	1
human3_lib2.final_cell_0219	beta	4
human3_lib2.final_cell_0220	delta	5
human3_lib2.final_cell_0221	alpha	3
human3_lib2.final_cell_0222	ductal	6
human3_lib2.final_cell_0223	delta	5
human3_lib2.final_cell_0224	ductal	6
human3_lib2.final_cell_0225	delta	5
human3_lib2.final_cell_0226	acinar	1
human3_lib2.final_cell_0227	ductal	6
human3_lib2.final_cell_0228	acinar	1
human3_lib2.final_cell_0229	acinar	1
human3_lib2.final_cell_0230	beta	4
human3_lib2.final_cell_0231	alpha	3
human3_lib2.final_cell_0232	ductal	6
human3_lib2.final_cell_0233	beta	4
human3_lib2.final_cell_0234	beta	4
human3_lib2.final_cell_0235	acinar	1
human3_lib2.final_cell_0236	alpha	3
human3_lib2.final_cell_0237	acinar	1
human3_lib2.final_cell_0238	alpha	3
human3_lib2.final_cell_0239	activated_stellate	2
human3_lib2.final_cell_0240	alpha	3
human3_lib2.final_cell_0241	ductal	6
human3_lib2.final_cell_0242	beta	4
human3_lib2.final_cell_0243	alpha	3
human3_lib2.final_cell_0244	beta	4
human3_lib2.final_cell_0245	delta	5
human3_lib2.final_cell_0246	alpha	3
human3_lib2.final_cell_0247	acinar	1
human3_lib2.final_cell_0248	alpha	3
human3_lib2.final_cell_0249	beta	4
human3_lib2.final_cell_0250	alpha	3
human3_lib2.final_cell_0251	alpha	3
human3_lib2.final_cell_0252	activated_stellate	2
human3_lib2.final_cell_0253	ductal	6
human3_lib2.final_cell_0254	acinar	1
human3_lib2.final_cell_0255	alpha	3
human3_lib2.final_cell_0256	alpha	3
human3_lib2.final_cell_0257	acinar	1
human3_lib2.final_cell_0258	alpha	3
human3_lib2.final_cell_0259	beta	4
human3_lib2.final_cell_0260	acinar	1
human3_lib2.final_cell_0261	beta	4
human3_lib2.final_cell_0262	ductal	6
human3_lib2.final_cell_0263	beta	4
human3_lib2.final_cell_0264	delta	5
human3_lib2.final_cell_0265	beta	4
human3_lib2.final_cell_0266	acinar	1
human3_lib2.final_cell_0267	acinar	1
human3_lib2.final_cell_0268	acinar	1
human3_lib2.final_cell_0269	acinar	1
human3_lib2.final_cell_0270	acinar	1
human3_lib2.final_cell_0271	activated_stellate	2
human3_lib2.final_cell_0272	acinar	1
human3_lib2.final_cell_0273	beta	4
human3_lib2.final_cell_0274	ductal	6
human3_lib2.final_cell_0275	alpha	3
human3_lib2.final_cell_0276	beta	4
human3_lib2.final_cell_0277	acinar	1
human3_lib2.final_cell_0278	beta	4
human3_lib2.final_cell_0279	beta	4
human3_lib2.final_cell_0280	acinar	1
human3_lib2.final_cell_0281	ductal	6
human3_lib2.final_cell_0282	beta	4
human3_lib2.final_cell_0283	acinar	1
human3_lib2.final_cell_0284	beta	4
human3_lib2.final_cell_0285	beta	4
human3_lib2.final_cell_0286	alpha	3
human3_lib2.final_cell_0287	beta	4
human3_lib2.final_cell_0288	alpha	3
human3_lib2.final_cell_0289	ductal	6
human3_lib2.final_cell_0290	alpha	3
human3_lib2.final_cell_0291	acinar	1
human3_lib2.final_cell_0292	alpha	3
human3_lib2.final_cell_0293	ductal	6
human3_lib2.final_cell_0294	activated_stellate	2
human3_lib2.final_cell_0295	alpha	3
human3_lib2.final_cell_0296	alpha	3
human3_lib2.final_cell_0297	ductal	6
human3_lib2.final_cell_0298	acinar	1
human3_lib2.final_cell_0299	acinar	1
human3_lib2.final_cell_0300	acinar	1
human3_lib2.final_cell_0301	alpha	3
human3_lib2.final_cell_0302	alpha	3
human3_lib2.final_cell_0303	alpha	3
human3_lib2.final_cell_0304	beta	4
human3_lib2.final_cell_0305	alpha	3
human3_lib2.final_cell_0306	beta	4
human3_lib2.final_cell_0307	alpha	3
human3_lib2.final_cell_0308	beta	4
human3_lib2.final_cell_0309	beta	4
human3_lib2.final_cell_0310	alpha	3
human3_lib2.final_cell_0311	delta	5
human3_lib2.final_cell_0312	alpha	3
human3_lib2.final_cell_0313	alpha	3
human3_lib2.final_cell_0314	alpha	3
human3_lib2.final_cell_0315	ductal	6
human3_lib2.final_cell_0316	ductal	6
human3_lib2.final_cell_0317	delta	5
human3_lib2.final_cell_0318	alpha	3
human3_lib2.final_cell_0319	ductal	6
human3_lib2.final_cell_0320	ductal	6
human3_lib2.final_cell_0321	alpha	3
human3_lib2.final_cell_0322	alpha	3
human3_lib2.final_cell_0323	ductal	6
human3_lib2.final_cell_0324	acinar	1
human3_lib2.final_cell_0325	beta	4
human3_lib2.final_cell_0326	beta	4
human3_lib2.final_cell_0327	alpha	3
human3_lib2.final_cell_0328	alpha	3
human3_lib2.final_cell_0329	alpha	3
human3_lib2.final_cell_0330	alpha	3
human3_lib2.final_cell_0331	beta	4
human3_lib2.final_cell_0332	beta	4
human3_lib2.final_cell_0333	ductal	6
human3_lib2.final_cell_0334	acinar	1
human3_lib2.final_cell_0335	beta	4
human3_lib2.final_cell_0336	beta	4
human3_lib2.final_cell_0337	alpha	3
human3_lib2.final_cell_0338	alpha	3
human3_lib2.final_cell_0339	beta	4
human3_lib2.final_cell_0340	ductal	6
human3_lib2.final_cell_0341	ductal	6
human3_lib2.final_cell_0342	beta	4
human3_lib2.final_cell_0343	ductal	6
human3_lib2.final_cell_0344	activated_stellate	2
human3_lib2.final_cell_0345	ductal	6
human3_lib2.final_cell_0346	beta	4
human3_lib2.final_cell_0347	beta	4
human3_lib2.final_cell_0348	alpha	3
human3_lib2.final_cell_0349	alpha	3
human3_lib2.final_cell_0350	alpha	3
human3_lib2.final_cell_0351	beta	4
human3_lib2.final_cell_0352	beta	4
human3_lib2.final_cell_0353	alpha	3
human3_lib2.final_cell_0354	beta	4
human3_lib2.final_cell_0355	beta	4
human3_lib2.final_cell_0356	alpha	3
human3_lib2.final_cell_0357	alpha	3
human3_lib2.final_cell_0358	beta	4
human3_lib2.final_cell_0359	acinar	1
human3_lib2.final_cell_0360	alpha	3
human3_lib2.final_cell_0361	beta	4
human3_lib2.final_cell_0362	alpha	3
human3_lib2.final_cell_0363	alpha	3
human3_lib2.final_cell_0364	alpha	3
human3_lib2.final_cell_0365	alpha	3
human3_lib2.final_cell_0366	beta	4
human3_lib2.final_cell_0367	beta	4
human3_lib2.final_cell_0368	activated_stellate	2
human3_lib2.final_cell_0369	beta	4
human3_lib2.final_cell_0370	activated_stellate	2
human3_lib2.final_cell_0371	beta	4
human3_lib2.final_cell_0372	alpha	3
human3_lib2.final_cell_0373	endothelial	7
human3_lib2.final_cell_0374	acinar	1
human3_lib2.final_cell_0375	ductal	6
human3_lib2.final_cell_0376	alpha	3
human3_lib2.final_cell_0377	alpha	3
human3_lib2.final_cell_0378	alpha	3
human3_lib2.final_cell_0379	ductal	6
human3_lib2.final_cell_0380	gamma	9
human3_lib2.final_cell_0381	beta	4
human3_lib2.final_cell_0382	beta	4
human3_lib2.final_cell_0383	ductal	6
human3_lib2.final_cell_0384	acinar	1
human3_lib2.final_cell_0385	alpha	3
human3_lib2.final_cell_0386	delta	5
human3_lib2.final_cell_0387	delta	5
human3_lib2.final_cell_0388	beta	4
human3_lib2.final_cell_0389	alpha	3
human3_lib2.final_cell_0390	beta	4
human3_lib2.final_cell_0391	ductal	6
human3_lib2.final_cell_0392	alpha	3
human3_lib2.final_cell_0393	alpha	3
human3_lib2.final_cell_0394	ductal	6
human3_lib2.final_cell_0395	alpha	3
human3_lib2.final_cell_0396	acinar	1
human3_lib2.final_cell_0397	alpha	3
human3_lib2.final_cell_0398	ductal	6
human3_lib2.final_cell_0399	ductal	6
human3_lib2.final_cell_0400	alpha	3
human3_lib2.final_cell_0401	alpha	3
human3_lib2.final_cell_0402	ductal	6
human3_lib2.final_cell_0403	acinar	1
human3_lib2.final_cell_0404	alpha	3
human3_lib2.final_cell_0405	alpha	3
human3_lib2.final_cell_0406	ductal	6
human3_lib2.final_cell_0407	alpha	3
human3_lib2.final_cell_0408	alpha	3
human3_lib2.final_cell_0409	ductal	6
human3_lib2.final_cell_0410	alpha	3
human3_lib2.final_cell_0411	acinar	1
human3_lib2.final_cell_0412	beta	4
human3_lib2.final_cell_0413	beta	4
human3_lib2.final_cell_0414	ductal	6
human3_lib2.final_cell_0415	alpha	3
human3_lib2.final_cell_0416	activated_stellate	2
human3_lib2.final_cell_0417	ductal	6
human3_lib2.final_cell_0418	beta	4
human3_lib2.final_cell_0419	beta	4
human3_lib2.final_cell_0420	alpha	3
human3_lib2.final_cell_0421	acinar	1
human3_lib2.final_cell_0422	beta	4
human3_lib2.final_cell_0423	alpha	3
human3_lib2.final_cell_0424	alpha	3
human3_lib2.final_cell_0425	alpha	3
human3_lib2.final_cell_0426	acinar	1
human3_lib2.final_cell_0427	alpha	3
human3_lib2.final_cell_0428	beta	4
human3_lib2.final_cell_0429	endothelial	7
human3_lib2.final_cell_0430	alpha	3
human3_lib2.final_cell_0431	alpha	3
human3_lib2.final_cell_0432	gamma	9
human3_lib2.final_cell_0433	alpha	3
human3_lib2.final_cell_0434	beta	4
human3_lib2.final_cell_0435	beta	4
human3_lib2.final_cell_0436	ductal	6
human3_lib2.final_cell_0437	delta	5
human3_lib2.final_cell_0438	beta	4
human3_lib2.final_cell_0439	beta	4
human3_lib2.final_cell_0440	alpha	3
human3_lib2.final_cell_0441	activated_stellate	2
human3_lib2.final_cell_0442	alpha	3
human3_lib2.final_cell_0443	beta	4
human3_lib2.final_cell_0444	alpha	3
human3_lib2.final_cell_0445	acinar	1
human3_lib2.final_cell_0446	alpha	3
human3_lib2.final_cell_0447	alpha	3
human3_lib2.final_cell_0448	alpha	3
human3_lib2.final_cell_0449	alpha	3
human3_lib2.final_cell_0450	beta	4
human3_lib2.final_cell_0451	alpha	3
human3_lib2.final_cell_0452	alpha	3
human3_lib2.final_cell_0453	acinar	1
human3_lib2.final_cell_0454	beta	4
human3_lib2.final_cell_0455	alpha	3
human3_lib2.final_cell_0456	alpha	3
human3_lib2.final_cell_0457	alpha	3
human3_lib2.final_cell_0458	ductal	6
human3_lib2.final_cell_0459	ductal	6
human3_lib2.final_cell_0460	ductal	6
human3_lib2.final_cell_0461	activated_stellate	2
human3_lib2.final_cell_0462	acinar	1
human3_lib2.final_cell_0463	alpha	3
human3_lib2.final_cell_0464	beta	4
human3_lib2.final_cell_0465	beta	4
human3_lib2.final_cell_0466	acinar	1
human3_lib2.final_cell_0467	alpha	3
human3_lib2.final_cell_0468	alpha	3
human3_lib2.final_cell_0469	acinar	1
human3_lib2.final_cell_0470	alpha	3
human3_lib2.final_cell_0471	alpha	3
human3_lib2.final_cell_0472	acinar	1
human3_lib2.final_cell_0473	acinar	1
human3_lib2.final_cell_0474	acinar	1
human3_lib2.final_cell_0475	delta	5
human3_lib2.final_cell_0476	ductal	6
human3_lib2.final_cell_0477	acinar	1
human3_lib2.final_cell_0478	alpha	3
human3_lib2.final_cell_0479	alpha	3
human3_lib2.final_cell_0480	alpha	3
human3_lib2.final_cell_0481	acinar	1
human3_lib2.final_cell_0482	alpha	3
human3_lib2.final_cell_0483	alpha	3
human3_lib2.final_cell_0484	alpha	3
human3_lib2.final_cell_0485	alpha	3
human3_lib2.final_cell_0486	acinar	1
human3_lib2.final_cell_0487	alpha	3
human3_lib2.final_cell_0488	alpha	3
human3_lib2.final_cell_0489	alpha	3
human3_lib2.final_cell_0490	beta	4
human3_lib2.final_cell_0491	acinar	1
human3_lib2.final_cell_0492	activated_stellate	2
human3_lib2.final_cell_0493	alpha	3
human3_lib2.final_cell_0494	quiescent_stellate	12
human3_lib2.final_cell_0495	alpha	3
human3_lib2.final_cell_0496	alpha	3
human3_lib2.final_cell_0497	acinar	1
human3_lib2.final_cell_0498	alpha	3
human3_lib2.final_cell_0499	beta	4
human3_lib2.final_cell_0500	alpha	3
human3_lib2.final_cell_0501	alpha	3
human3_lib2.final_cell_0502	ductal	6
human3_lib2.final_cell_0503	alpha	3
human3_lib2.final_cell_0504	ductal	6
human3_lib2.final_cell_0505	alpha	3
human3_lib2.final_cell_0506	acinar	1
human3_lib2.final_cell_0507	alpha	3
human3_lib2.final_cell_0508	beta	4
human3_lib2.final_cell_0509	alpha	3
human3_lib2.final_cell_0510	alpha	3
human3_lib2.final_cell_0511	beta	4
human3_lib2.final_cell_0512	beta	4
human3_lib2.final_cell_0513	alpha	3
human3_lib2.final_cell_0514	alpha	3
human3_lib2.final_cell_0515	alpha	3
human3_lib2.final_cell_0516	ductal	6
human3_lib2.final_cell_0517	alpha	3
human3_lib2.final_cell_0518	alpha	3
human3_lib2.final_cell_0519	alpha	3
human3_lib2.final_cell_0520	alpha	3
human3_lib2.final_cell_0521	alpha	3
human3_lib2.final_cell_0522	alpha	3
human3_lib2.final_cell_0523	beta	4
human3_lib2.final_cell_0524	beta	4
human3_lib2.final_cell_0525	alpha	3
human3_lib2.final_cell_0526	ductal	6
human3_lib2.final_cell_0527	ductal	6
human3_lib2.final_cell_0528	ductal	6
human3_lib2.final_cell_0529	beta	4
human3_lib2.final_cell_0530	endothelial	7
human3_lib2.final_cell_0531	alpha	3
human3_lib2.final_cell_0532	beta	4
human3_lib2.final_cell_0533	alpha	3
human3_lib2.final_cell_0534	beta	4
human3_lib2.final_cell_0535	alpha	3
human3_lib2.final_cell_0536	alpha	3
human3_lib2.final_cell_0537	alpha	3
human3_lib2.final_cell_0538	ductal	6
human3_lib2.final_cell_0539	beta	4
human3_lib2.final_cell_0540	activated_stellate	2
human3_lib2.final_cell_0541	alpha	3
human3_lib2.final_cell_0542	alpha	3
human3_lib2.final_cell_0543	alpha	3
human3_lib2.final_cell_0544	endothelial	7
human3_lib2.final_cell_0545	alpha	3
human3_lib2.final_cell_0546	beta	4
human3_lib2.final_cell_0547	acinar	1
human3_lib2.final_cell_0548	alpha	3
human3_lib2.final_cell_0549	ductal	6
human3_lib2.final_cell_0550	alpha	3
human3_lib2.final_cell_0551	alpha	3
human3_lib2.final_cell_0552	alpha	3
human3_lib2.final_cell_0553	beta	4
human3_lib2.final_cell_0554	alpha	3
human3_lib2.final_cell_0555	alpha	3
human3_lib2.final_cell_0556	alpha	3
human3_lib2.final_cell_0557	alpha	3
human3_lib2.final_cell_0558	quiescent_stellate	12
human3_lib2.final_cell_0559	alpha	3
human3_lib2.final_cell_0560	alpha	3
human3_lib2.final_cell_0561	alpha	3
human3_lib2.final_cell_0562	beta	4
human3_lib2.final_cell_0563	beta	4
human3_lib2.final_cell_0564	alpha	3
human3_lib2.final_cell_0565	alpha	3
human3_lib2.final_cell_0566	beta	4
human3_lib2.final_cell_0567	alpha	3
human3_lib2.final_cell_0568	alpha	3
human3_lib2.final_cell_0569	acinar	1
human3_lib2.final_cell_0570	ductal	6
human3_lib2.final_cell_0571	alpha	3
human3_lib2.final_cell_0572	alpha	3
human3_lib2.final_cell_0573	beta	4
human3_lib2.final_cell_0574	beta	4
human3_lib2.final_cell_0575	alpha	3
human3_lib2.final_cell_0576	acinar	1
human3_lib2.final_cell_0577	alpha	3
human3_lib2.final_cell_0578	alpha	3
human3_lib2.final_cell_0579	alpha	3
human3_lib2.final_cell_0580	macrophage	10
human3_lib2.final_cell_0581	beta	4
human3_lib2.final_cell_0582	beta	4
human3_lib2.final_cell_0583	alpha	3
human3_lib2.final_cell_0584	alpha	3
human3_lib2.final_cell_0585	ductal	6
human3_lib2.final_cell_0586	acinar	1
human3_lib2.final_cell_0587	alpha	3
human3_lib2.final_cell_0588	alpha	3
human3_lib2.final_cell_0589	alpha	3
human3_lib2.final_cell_0590	alpha	3
human3_lib2.final_cell_0591	alpha	3
human3_lib2.final_cell_0592	alpha	3
human3_lib2.final_cell_0593	activated_stellate	2
human3_lib2.final_cell_0594	beta	4
human3_lib2.final_cell_0595	alpha	3
human3_lib2.final_cell_0596	gamma	9
human3_lib2.final_cell_0597	alpha	3
human3_lib2.final_cell_0598	alpha	3
human3_lib2.final_cell_0599	ductal	6
human3_lib2.final_cell_0600	alpha	3
human3_lib2.final_cell_0601	alpha	3
human3_lib2.final_cell_0602	alpha	3
human3_lib2.final_cell_0603	alpha	3
human3_lib2.final_cell_0604	alpha	3
human3_lib2.final_cell_0605	quiescent_stellate	12
human3_lib2.final_cell_0606	ductal	6
human3_lib2.final_cell_0607	ductal	6
human3_lib2.final_cell_0608	acinar	1
human3_lib2.final_cell_0609	delta	5
human3_lib2.final_cell_0610	alpha	3
human3_lib2.final_cell_0611	ductal	6
human3_lib2.final_cell_0612	alpha	3
human3_lib2.final_cell_0613	alpha	3
human3_lib2.final_cell_0614	acinar	1
human3_lib2.final_cell_0615	delta	5
human3_lib2.final_cell_0616	acinar	1
human3_lib2.final_cell_0617	alpha	3
human3_lib2.final_cell_0618	alpha	3
human3_lib2.final_cell_0619	alpha	3
human3_lib2.final_cell_0620	acinar	1
human3_lib2.final_cell_0621	activated_stellate	2
human3_lib2.final_cell_0622	beta	4
human3_lib2.final_cell_0623	acinar	1
human3_lib2.final_cell_0624	beta	4
human3_lib2.final_cell_0625	alpha	3
human3_lib2.final_cell_0626	acinar	1
human3_lib2.final_cell_0627	beta	4
human3_lib2.final_cell_0628	alpha	3
human3_lib2.final_cell_0629	alpha	3
human3_lib2.final_cell_0630	ductal	6
human3_lib2.final_cell_0631	alpha	3
human3_lib2.final_cell_0632	ductal	6
human3_lib2.final_cell_0633	alpha	3
human3_lib2.final_cell_0634	alpha	3
human3_lib2.final_cell_0635	alpha	3
human3_lib2.final_cell_0636	acinar	1
human3_lib2.final_cell_0637	ductal	6
human3_lib2.final_cell_0638	acinar	1
human3_lib2.final_cell_0639	alpha	3
human3_lib2.final_cell_0640	delta	5
human3_lib2.final_cell_0641	alpha	3
human3_lib2.final_cell_0642	alpha	3
human3_lib2.final_cell_0643	acinar	1
human3_lib2.final_cell_0644	beta	4
human3_lib2.final_cell_0645	alpha	3
human3_lib2.final_cell_0646	acinar	1
human3_lib2.final_cell_0647	endothelial	7
human3_lib2.final_cell_0648	beta	4
human3_lib2.final_cell_0649	alpha	3
human3_lib2.final_cell_0650	activated_stellate	2
human3_lib2.final_cell_0651	activated_stellate	2
human3_lib2.final_cell_0652	acinar	1
human3_lib2.final_cell_0653	alpha	3
human3_lib2.final_cell_0654	alpha	3
